hierarchy	codingscheme	affiliation	battledimension	status	functionid	name	remarks
GRDTRK.UNT.CBT.FLDART.TGTAQ.CLT.TKD 	S	*	G	*	UCFTCM	TRACKED COLT/FIST
GRDTRK.UNT.CBT.FLDART.TGTAQ.ANG 	S	*	G	*	UCFTA-	ANGLICO
GRDTRK.UNT.CBT.FLDART.MORT 	S	*	G	*	UCFM--	MORTAR
GRDTRK.UNT.CBT.FLDART.MORT.SPDTRK 	S	*	G	*	UCFMS-	SELF-PROPELLED (SP) TRACKED MORTAR
GRDTRK.UNT.CBT.FLDART.MORT.SPDWHD 	S	*	G	*	UCFMW-	SP WHEELED MORTAR
GRDTRK.UNT.CBT.FLDART.MORT.TOW 	S	*	G	*	UCFMT-	TOWED MORTAR
GRDTRK.UNT.CBT.FLDART.MORT.TOW.ABN 	S	*	G	*	UCFMTA	TOWED AIRBORNE MORTAR
GRDTRK.UNT.CBT.FLDART.MORT.TOW.AAST 	S	*	G	*	UCFMTS	TOWED AIR ASSAULT MORTAR
GRDTRK.UNT.CBT.FLDART.MORT.TOW.ARC 	S	*	G	*	UCFMTC	TOWED ARCTIC MORTAR
GRDTRK.UNT.CBT.FLDART.MORT.TOW.MNT 	S	*	G	*	UCFMTO	TOWED MOUNTAIN MORTAR
GRDTRK.UNT.CBT.FLDART.MORT.AMP 	S	*	G	*	UCFML-	AMPHIBIOUS MORTAR
GRDTRK.UNT.CBT.FLDART.ARTSVY 	S	*	G	*	UCFS--	ARTILLERY SURVEY
GRDTRK.UNT.CBT.FLDART.ARTSVY.AAST 	S	*	G	*	UCFSS-	AIR ASSAULT
GRDTRK.UNT.CBT.FLDART.ARTSVY.ABN 	S	*	G	*	UCFSA-	AIRBORNE
GRDTRK.UNT.CBT.FLDART.ARTSVY.LIT 	S	*	G	*	UCFSL-	LIGHT
GRDTRK.UNT.CBT.FLDART.ARTSVY.MNT 	S	*	G	*	UCFSO-	MOUNTAIN
GRDTRK.UNT.CBT.FLDART.METO 	S	*	G	*	UCFO--	METEOROLOGICAL
GRDTRK.UNT.CBT.FLDART.METO.AAST 	S	*	G	*	UCFOS-	AIR ASSAULT METEOROLOGICAL
GRDTRK.UNT.CBT.FLDART.METO.ABN 	S	*	G	*	UCFOA-	AIRBORNE METEOROLOGICAL
GRDTRK.UNT.CBT.FLDART.METO.LIT 	S	*	G	*	UCFOL-	LIGHT METEOROLOGICAL
GRDTRK.UNT.CBT.FLDART.METO.MNT 	S	*	G	*	UCFOO-	MOUNTAIN METEOROLOGICAL
GRDTRK.UNT.CBT.RECON 	S	*	G	*	UCR---	RECONNAISSANCE
GRDTRK.UNT.CBT.RECON.HRE 	S	*	G	*	UCRH--	RECONNAISSANCE HORSE
GRDTRK.UNT.CBT.RECON.CVY 	S	*	G	*	UCRV--	RECONNAISSANCE CAVALRY
GRDTRK.UNT.CBT.RECON.CVY.ARMD 	S	*	G	*	UCRVA-	RECONNAISSANCE CAVALRY ARMORED
GRDTRK.UNT.CBT.RECON.CVY.MOT 	S	*	G	*	UCRVM-	RECONNAISSANCE CAVALRY MOTORIZED
GRDTRK.UNT.CBT.RECON.CVY.GRD 	S	*	G	*	UCRVG-	RECONNAISSANCE CAVALRY GROUND
